Timestamp,Machine_ID,Machine_Type,Section,Machine_Speed_RPM,Temp_C,Humidity_%,Machine_State,Shift,Energy_kWh,Power_Factor,Motor_Current_A,Voltage_Variation_%,Output_kg,Yarn_Breaks_Count,Waste_kg,Safety_Interlock_Triggered,Auto_Shutdown_Flag,Emergency_Stop_Count,Current_Ratio,Mechanical_Friction_Index,Wear_Score,Degradation_Phase,Component_Health_%,RUL_Hours,Material_Buffer_Level_kg,Yarn_Count_Ne,Speed_Override_Flag,Torque_Load_Index,Efficiency_Index
2024-01-02 07:00:00,MCH-007,Ring Spinning,Spinning,1404,59.2,55,RUN,C,43.99,0.98,59.8,3.8,99,1,4.19,0,0,0,1.0732209102548669,1.0597384413388062,23.4,Early Wear,76.6,1532.0,483,20,0,1.17,0.88
2024-01-02 08:00:00,MCH-024,Open End,Drawing,1394,69.6,60,RUN,C,46.8,0.87,51.3,0.31,68,4,6.06,0,0,1,0.9322957969865184,0.9075579547185756,31.2,Early Wear,68.8,1376.0,328,30,1,0.81,0.85
2024-01-02 09:00:00,MCH-022,Ring Spinning,Spinning,1257,70.1,60,RUN,B,34.52,0.96,47.5,-0.32,170,2,1.98,0,0,0,0.8792760113310211,1.0227653308311813,25.5,Early Wear,74.5,1490.0,498,30,1,1.19,0.76
2024-01-02 10:00:00,MCH-020,Open End,Drawing,1006,80.6,46,RUN,A,39.0,0.93,53.3,0.33,128,1,2.71,1,0,0,0.9582776173406896,1.0111923169986476,37.5,Early Wear,62.5,1250.0,277,24,0,0.82,0.71
2024-01-02 11:00:00,MCH-020,Open End,Spinning,1414,64.8,48,RUN,B,37.31,0.92,64.6,-3.84,129,2,2.72,0,0,1,1.1614396637937816,0.9657255020045,17.7,Healthy,82.3,1646.0,277,24,0,0.82,0.71
2024-01-02 12:00:00,MCH-013,Open End,Drawing,1124,53.8,72,IDLE,B,40.76,0.95,58.7,0.63,110,3,4.94,0,0,0,1.0779662385098934,1.077908006085511,29.8,Early Wear,70.2,1404.0,443,40,0,1.0,0.89
2024-01-02 13:00:00,MCH-007,Compact,Drawing,1484,72.2,71,RUN,A,43.83,0.89,61.4,2.3,98,1,3.49,0,0,0,1.1019358509974722,1.048909217898093,30.4,Early Wear,69.6,1392.0,483,20,0,1.17,0.88
2024-01-02 14:00:00,MCH-017,Ring Spinning,Drawing,1045,60.8,62,RUN,C,45.71,0.85,56.5,-2.81,144,2,4.06,0,0,0,1.0353724109661708,1.0919123989169917,26.7,Early Wear,73.3,1466.0,615,24,0,1.0,0.81
2024-01-02 15:00:00,MCH-011,Compact,Carding,1091,77.4,61,RUN,C,42.77,0.95,45.3,3.5,177,3,5.24,0,0,0,0.830681256107418,1.031282410358163,43.5,Moderate Wear,56.5,1130.0,595,30,0,1.11,0.77
2024-01-02 16:00:00,MCH-003,Compact,Spinning,1486,72.5,48,RUN,B,39.83,0.94,61.5,3.04,144,5,2.1,0,0,1,1.1075145035731788,0.9735281006941212,32.3,Early Wear,67.7,1354.0,451,24,0,0.93,0.94
2024-01-02 17:00:00,MCH-005,Open End,Carding,1284,66.6,71,RUN,A,37.96,0.91,55.2,-0.31,129,5,2.32,0,1,0,1.001485446030684,1.0730791280053178,30.3,Early Wear,69.7,1394.0,688,24,0,1.2,0.81
2024-01-02 18:00:00,MCH-001,Ring Spinning,Spinning,1195,65.3,57,RUN,C,31.59,0.84,62.4,2.0,97,2,3.75,0,0,0,1.1378465094960044,1.1294457270045473,28.3,Early Wear,71.7,1434.0,386,24,0,1.13,0.79
2024-01-02 19:00:00,MCH-012,Compact,Drawing,1310,67.1,45,RUN,A,35.99,0.95,60.2,-2.41,130,3,2.24,0,0,0,1.0796822956699974,1.012797047156096,23.7,Early Wear,76.3,1526.0,758,30,0,0.95,0.78
2024-01-02 20:00:00,MCH-011,Ring Spinning,Roving,1305,63.5,48,RUN,C,36.3,0.82,58.9,3.48,173,4,6.84,0,0,0,1.0800690062853626,1.0617562594848526,34.8,Early Wear,65.2,1304.0,595,30,0,1.11,0.77
2024-01-02 21:00:00,MCH-006,Open End,Drawing,1176,77.8,71,RUN,C,31.03,0.83,55.2,0.96,173,2,1.6,0,0,0,1.01476638114355,1.0163381483141822,34.0,Early Wear,66.0,1320.0,344,24,0,0.94,0.92
2024-01-02 22:00:00,MCH-012,Compact,Carding,1051,70.2,64,IDLE,A,42.31,0.86,51.6,1.43,106,5,6.0,0,0,0,0.9254419677171406,1.035480299589838,40.3,Moderate Wear,59.7,1194.0,758,30,0,0.95,0.78
2024-01-02 23:00:00,MCH-006,Open End,Roving,1139,65.0,45,RUN,C,49.07,0.87,46.7,2.95,83,0,3.69,0,0,0,0.8585070652065904,0.9739201813446546,16.1,Healthy,83.9,1678.0,344,24,0,0.94,0.92
2024-01-03 00:00:00,MCH-006,Ring Spinning,Drawing,1442,70.0,64,IDLE,B,40.33,0.93,51.0,2.76,147,4,5.52,0,0,1,0.937555895621758,0.93367790258725,32.0,Early Wear,68.0,1360.0,344,24,0,0.94,0.92
2024-01-03 01:00:00,MCH-030,Ring Spinning,Drawing,1315,64.4,58,RUN,B,42.89,0.96,55.7,3.74,137,2,1.54,0,0,0,1.0132099882296866,0.973953785623064,15.8,Healthy,84.2,1684.0,398,30,0,0.91,0.75
2024-01-03 02:00:00,MCH-023,Open End,Drawing,1162,65.7,57,RUN,B,47.11,0.98,60.3,-1.0,70,2,4.31,0,0,0,1.0853657252928854,1.07933688590951,27.5,Early Wear,72.5,1450.0,214,40,0,1.01,0.81
2024-01-03 03:00:00,MCH-001,Ring Spinning,Roving,1055,57.1,49,RUN,B,47.96,0.98,55.0,0.07,130,1,2.93,0,0,0,1.0029095836903883,1.1287168887619554,24.3,Early Wear,75.7,1514.0,386,24,0,1.13,0.79
2024-01-03 04:00:00,MCH-007,Compact,Roving,1304,67.4,59,RUN,A,42.6,0.87,59.3,-0.8,83,5,6.55,0,0,0,1.0642474912728028,1.0853714653566588,40.4,Moderate Wear,59.6,1192.0,483,20,0,1.17,0.88
2024-01-03 05:00:00,MCH-026,Compact,Roving,1344,72.3,46,RUN,B,40.77,0.9,59.8,-1.69,89,2,5.02,0,0,0,1.0961134733633853,1.0123994230910571,33.8,Early Wear,66.2,1324.0,641,24,1,0.98,0.81
2024-01-03 06:00:00,MCH-023,Ring Spinning,Roving,1469,65.3,49,IDLE,A,42.36,0.86,50.1,-1.85,99,3,6.72,0,0,0,0.9017715230045368,0.9428003499955092,27.0,Early Wear,73.0,1460.0,214,40,0,1.01,0.81
2024-01-03 07:00:00,MCH-013,Ring Spinning,Drawing,1273,73.4,72,RUN,C,40.34,0.91,62.3,1.18,169,0,2.36,0,0,0,1.1440766040743842,1.0529457865333955,27.9,Early Wear,72.1,1442.0,443,40,0,1.0,0.89
2024-01-03 08:00:00,MCH-030,Ring Spinning,Spinning,1373,67.4,55,RUN,C,42.9,0.95,41.7,-2.52,146,1,3.31,0,0,0,0.7585432048326378,0.8910634885778983,16.2,Healthy,83.8,1676.0,398,30,0,0.91,0.75
2024-01-03 09:00:00,MCH-015,Open End,Roving,1252,62.9,65,RUN,B,41.0,0.85,61.3,2.59,117,5,2.85,0,0,0,1.112580049705582,1.1200899105084068,31.7,Early Wear,68.3,1366.0,421,30,1,1.18,0.85
2024-01-03 10:00:00,MCH-022,Open End,Spinning,978,64.1,60,RUN,B,39.0,0.85,67.9,-0.7,110,2,7.3,0,0,0,1.2569019193552913,1.3088926003712984,44.0,Moderate Wear,56.0,1120.0,498,30,1,1.19,0.76
2024-01-03 11:00:00,MCH-015,Compact,Drawing,1302,65.4,54,RUN,C,42.79,0.91,44.5,-1.66,171,2,4.82,0,0,0,0.8076641470130245,0.9875191330109672,23.5,Early Wear,76.5,1530.0,421,30,1,1.18,0.85
2024-01-03 12:00:00,MCH-022,Compact,Drawing,1482,62.6,52,RUN,C,42.68,0.96,61.5,2.72,81,0,6.36,0,0,0,1.1384310462496376,1.0563129919526475,25.5,Early Wear,74.5,1490.0,498,30,1,1.19,0.76
2024-01-03 13:00:00,MCH-014,Compact,Spinning,1147,80.5,60,RUN,A,39.93,0.84,54.0,3.0,157,2,3.33,0,0,1,0.9635928143712574,0.9350521882975305,36.8,Early Wear,63.2,1264.0,645,40,0,0.71,0.83
2024-01-03 14:00:00,MCH-026,Compact,Spinning,1243,60.6,66,IDLE,C,49.82,0.94,56.5,3.24,114,5,5.77,0,0,0,1.035625606104202,1.0195528107678986,32.5,Early Wear,67.5,1350.0,641,24,1,0.98,0.81
2024-01-03 15:00:00,MCH-015,Compact,Spinning,963,55.9,45,RUN,A,45.82,0.89,53.6,-3.82,123,2,4.16,0,0,0,0.9728269276381598,1.1801518500941843,31.3,Early Wear,68.7,1374.0,421,30,1,1.18,0.85
2024-01-03 16:00:00,MCH-018,Compact,Spinning,1265,68.7,72,RUN,C,42.79,0.9,51.6,-2.54,94,4,6.62,0,0,0,0.9483369732555228,0.8763203497132214,29.7,Early Wear,70.3,1406.0,258,20,0,0.63,0.79
2024-01-03 17:00:00,MCH-030,Ring Spinning,Roving,987,69.8,72,RUN,C,42.29,0.91,49.8,0.33,88,1,2.12,0,0,0,0.9058861295123588,1.0299599654752822,23.7,Early Wear,76.3,1526.0,398,30,0,0.91,0.75
2024-01-03 18:00:00,MCH-003,Open End,Drawing,1345,71.2,52,IDLE,B,36.86,0.89,66.8,-1.8,176,0,7.28,0,0,0,1.2029588429055016,1.0320418991461782,33.9,Early Wear,66.1,1322.0,451,24,0,0.93,0.94
2024-01-03 19:00:00,MCH-022,Open End,Roving,1107,68.8,62,RUN,B,35.99,0.83,48.7,-0.44,102,0,7.2,0,0,0,0.901489300038331,1.0788746787865733,33.1,Early Wear,66.9,1338.0,498,30,1,1.19,0.76
2024-01-03 20:00:00,MCH-005,Ring Spinning,Roving,1214,61.9,60,RUN,A,33.52,0.92,57.2,2.81,80,2,3.76,0,0,0,1.0377711505970133,1.110709010947012,27.1,Early Wear,72.9,1458.0,688,24,0,1.2,0.81
2024-01-03 21:00:00,MCH-021,Open End,Spinning,1348,71.0,72,RUN,B,42.94,0.87,50.9,-1.57,87,2,1.85,0,0,0,0.9120977579153038,0.9335486663088312,21.9,Early Wear,78.1,1562.0,289,36,0,0.88,0.91
2024-01-03 22:00:00,MCH-003,Open End,Roving,1383,67.9,49,RUN,C,44.13,0.83,56.6,-1.99,162,1,7.17,0,0,0,1.0192735106055597,0.9702717184983068,28.5,Early Wear,71.5,1430.0,451,24,0,0.93,0.94
2024-01-03 23:00:00,MCH-014,Open End,Spinning,996,71.5,73,RUN,B,45.2,0.87,50.9,1.03,76,0,3.61,0,0,0,0.9082754491017964,0.9567703063904446,23.2,Early Wear,76.8,1536.0,645,40,0,0.71,0.83
2024-01-04 00:00:00,MCH-016,Ring Spinning,Drawing,1201,70.8,74,RUN,B,36.37,0.93,70.9,-3.96,117,0,4.09,0,1,0,1.3089139236788556,1.1610650511979363,33.5,Early Wear,66.5,1330.0,499,24,0,1.07,0.76
2024-01-04 01:00:00,MCH-019,Ring Spinning,Drawing,1494,63.8,58,IDLE,C,40.87,0.88,64.2,1.18,158,1,4.07,0,0,1,1.174748398902104,1.069642304929986,23.6,Early Wear,76.4,1528.0,537,20,0,1.19,0.74
2024-01-04 02:00:00,MCH-026,Open End,Roving,1244,61.3,62,RUN,C,50.86,0.97,62.0,-0.92,73,2,6.77,0,1,1,1.136438718202841,1.0522081016435658,30.2,Early Wear,69.8,1396.0,641,24,1,0.98,0.81
2024-01-04 03:00:00,MCH-008,Open End,Spinning,1260,74.3,72,RUN,A,42.38,0.83,48.8,-2.26,62,2,4.45,0,0,0,0.8804740054350247,0.9783023624241884,33.4,Early Wear,66.6,1332.0,547,40,0,1.01,0.79
2024-01-04 04:00:00,MCH-023,Open End,Roving,1047,67.2,58,RUN,A,36.71,0.96,57.0,3.9,162,4,2.66,0,0,0,1.0259676010231256,1.0988940348932494,31.0,Early Wear,69.0,1380.0,214,40,0,1.01,0.81
2024-01-04 05:00:00,MCH-006,Open End,Drawing,1394,66.7,62,RUN,B,46.32,0.89,54.3,-2.06,97,3,4.97,0,0,0,0.998221277103166,0.9592884895941262,26.0,Early Wear,74.0,1480.0,344,24,0,0.94,0.92
2024-01-04 06:00:00,MCH-019,Ring Spinning,Spinning,1224,76.6,57,RUN,A,46.43,0.93,61.2,1.71,145,2,2.18,0,0,0,1.1198536139066788,1.1332009980844768,39.5,Early Wear,60.5,1210.0,537,20,0,1.19,0.74
2024-01-04 07:00:00,MCH-024,Compact,Carding,1174,60.4,65,IDLE,A,50.03,0.97,55.5,-2.33,117,2,1.52,0,0,0,1.008624107850912,0.97203045782832,15.6,Healthy,84.4,1688.0,328,30,1,0.81,0.85
2024-01-04 08:00:00,MCH-020,Ring Spinning,Roving,1333,74.9,47,RUN,C,46.9,0.96,58.4,3.01,78,0,5.65,0,0,0,1.0499702223770409,0.9540408788037976,31.4,Early Wear,68.6,1372.0,277,24,0,0.82,0.71
2024-01-04 09:00:00,MCH-021,Open End,Spinning,1025,64.8,67,RUN,C,41.79,0.91,50.3,0.56,127,6,3.98,0,0,1,0.901346114403532,1.0092093007519731,30.4,Early Wear,69.6,1392.0,289,36,0,0.88,0.91
2024-01-04 10:00:00,MCH-005,Compact,Drawing,1198,75.2,45,RUN,A,46.92,0.96,58.9,0.25,117,1,2.48,0,0,0,1.068613999478393,1.1293885235633656,36.2,Early Wear,63.8,1276.0,688,24,0,1.2,0.81
2024-01-04 11:00:00,MCH-008,Compact,Spinning,1017,70.4,59,IDLE,B,45.71,0.87,59.3,3.42,102,1,2.73,0,0,0,1.069920256604446,1.1285792310875082,30.6,Early Wear,69.4,1388.0,547,40,0,1.01,0.79
2024-01-04 12:00:00,MCH-021,Open End,Drawing,1029,63.5,63,RUN,C,42.37,0.91,54.2,3.55,100,0,6.41,0,0,0,0.9712317972300484,1.0332802519810738,24.5,Early Wear,75.5,1510.0,289,36,0,0.88,0.91
2024-01-04 13:00:00,MCH-015,Ring Spinning,Carding,1267,61.6,69,RUN,C,41.07,0.83,48.3,-2.0,169,2,5.18,0,0,0,0.8766332202411029,1.022881203162063,25.5,Early Wear,74.5,1490.0,421,30,1,1.18,0.85
2024-01-04 14:00:00,MCH-020,Compact,Spinning,1376,67.6,60,RUN,A,43.9,0.93,65.3,-0.78,166,2,6.58,0,0,0,1.1740249233085749,0.9767580062256758,29.2,Early Wear,70.8,1416.0,277,24,0,0.82,0.71
2024-01-04 15:00:00,MCH-003,Open End,Carding,1273,66.1,69,RUN,C,42.12,0.96,41.5,-1.49,82,5,5.22,0,0,0,0.7473471853379987,0.9114313156129966,27.4,Early Wear,72.6,1452.0,451,24,0,0.93,0.94
2024-01-04 16:00:00,MCH-003,Compact,Carding,1330,68.9,73,RUN,B,38.75,0.85,65.2,3.67,175,1,5.13,0,0,0,1.1741454574466872,1.0274983402749231,28.5,Early Wear,71.5,1430.0,451,24,0,0.93,0.94
2024-01-04 17:00:00,MCH-001,Open End,Spinning,1193,70.0,47,RUN,B,34.5,0.94,56.2,2.02,125,0,3.54,0,0,0,1.0247912473345424,1.085568289924889,27.6,Early Wear,72.4,1448.0,386,24,0,1.13,0.79
2024-01-04 18:00:00,MCH-028,Open End,Roving,1246,71.5,60,RUN,C,46.44,0.93,58.3,-2.23,131,2,5.99,0,0,0,1.0669373409283722,0.9477128199904932,31.5,Early Wear,68.5,1370.0,316,20,0,0.75,0.73
2024-01-04 19:00:00,MCH-005,Ring Spinning,Spinning,1346,69.7,68,RUN,C,38.31,0.96,59.9,1.4,164,2,4.27,0,0,0,1.0867568517615576,1.0868639173437082,32.8,Early Wear,67.2,1344.0,688,24,0,1.2,0.81
2024-01-04 20:00:00,MCH-009,Compact,Roving,1446,62.7,52,RUN,A,49.99,0.88,59.0,3.3,110,1,4.2,0,0,0,1.064370643706437,1.0004081506604634,20.4,Early Wear,79.6,1592.0,538,24,0,1.03,0.78
2024-01-04 21:00:00,MCH-024,Open End,Drawing,1210,67.6,60,STOP,B,45.44,0.98,53.1,0.3,97,4,5.27,0,0,0,0.9650079302141156,0.9511629178864276,29.3,Early Wear,70.7,1414.0,328,30,1,0.81,0.85
2024-01-04 22:00:00,MCH-001,Ring Spinning,Spinning,1031,66.2,51,RUN,A,42.58,0.96,50.5,-2.4,126,2,2.16,0,0,0,0.9208533450248112,1.1016564971052034,24.9,Early Wear,75.1,1502.0,386,24,0,1.13,0.79
2024-01-04 23:00:00,MCH-012,Compact,Roving,1156,75.1,51,STOP,C,56.16,0.83,49.6,-1.49,174,1,4.55,0,0,0,0.889572124007174,0.9907944322607638,33.3,Early Wear,66.7,1334.0,758,30,0,0.95,0.78
2024-01-05 00:00:00,MCH-012,Ring Spinning,Drawing,1394,65.2,59,IDLE,A,40.33,0.96,56.2,3.57,132,2,4.63,0,0,0,1.007942608250064,0.97208892124001,22.1,Early Wear,77.9,1558.0,758,30,0,0.95,0.78
2024-01-05 01:00:00,MCH-006,Ring Spinning,Roving,1092,61.7,46,RUN,A,46.8,0.89,74.3,0.73,63,1,4.89,0,0,0,1.3658902557783652,1.167078956235095,30.1,Early Wear,69.9,1398.0,344,24,0,0.94,0.92
2024-01-05 02:00:00,MCH-027,Compact,Carding,905,58.5,70,RUN,A,45.79,0.9,70.4,1.1,78,0,2.09,0,0,0,1.274311805322513,1.1184930916481983,20.1,Early Wear,79.9,1598.0,486,36,0,0.74,0.93
2024-01-05 03:00:00,MCH-001,Open End,Drawing,1092,61.3,51,RUN,C,40.28,0.88,60.0,-0.28,166,2,2.7,0,0,0,1.0940831822076966,1.15286802966493,27.0,Early Wear,73.0,1460.0,386,24,0,1.13,0.79
2024-01-05 04:00:00,MCH-005,Ring Spinning,Spinning,1361,63.7,57,RUN,C,37.97,0.95,66.5,-2.33,67,2,5.65,0,1,0,1.2064996768304437,1.1266148860207164,31.6,Early Wear,68.4,1368.0,688,24,0,1.2,0.81
2024-01-05 05:00:00,MCH-007,Compact,Carding,1336,61.3,55,RUN,C,45.99,0.82,57.3,2.13,173,6,7.34,0,0,0,1.0283538153445464,1.0623759185335515,39.8,Early Wear,60.2,1204.0,483,20,0,1.17,0.88
2024-01-05 06:00:00,MCH-025,Compact,Roving,1004,64.4,73,RUN,C,42.48,0.95,54.9,1.36,124,1,5.02,0,0,0,1.015441343182062,1.1256695469275244,28.3,Early Wear,71.7,1434.0,434,20,0,1.07,0.84
2024-01-05 07:00:00,MCH-024,Open End,Drawing,951,66.8,68,IDLE,B,43.79,0.98,44.4,2.39,170,4,4.02,0,0,1,0.8068992862807295,0.968419680628358,26.7,Early Wear,73.3,1466.0,328,30,1,0.81,0.85
2024-01-05 08:00:00,MCH-028,Compact,Roving,1447,56.3,47,RUN,B,29.51,0.88,71.4,2.09,167,3,3.15,0,0,0,1.3066779784268574,0.9622683357541166,20.4,Early Wear,79.6,1592.0,316,20,0,0.75,0.73
2024-01-05 09:00:00,MCH-015,Ring Spinning,Spinning,1256,72.0,54,RUN,A,32.8,0.89,56.6,-3.08,110,0,7.3,0,0,0,1.0272761959761163,1.0851348973716823,37.6,Early Wear,62.4,1248.0,421,30,1,1.18,0.85
2024-01-05 10:00:00,MCH-010,Compact,Roving,1225,66.2,45,RUN,C,43.91,0.91,52.2,0.18,137,4,1.63,0,0,0,0.9626716437808291,0.8915190089709402,17.3,Healthy,82.7,1654.0,255,30,0,0.65,0.87
